ano,Participación porcentual del Producto Interno Bruto por departamento
DEPARTAMENTOS.1,Córdoba
2005.1,1.78222823590917
2006.1,1.7827395633293288
2007.1,1.9119368114299669
2008.1,1.7211998341147454
2009.1,1.6892771506809119
2010.1,1.6561662952697405
2011.1,1.576323416810999
2012.1,1.6172773744746145
2013.1,1.6379607617896645
2014.1,1.6925772726202282
2015.1,1.6971173194381701
2016.1,1.6973721292642783
2017.1,1.7157046369388778
2018.1,1.700778817091889
2019.1,1.7242940993145817
2020p.1,1.7884214952655808
